city,population
Solon ,3018
Somers ,128
South Amana CDP,165
South English ,202
Spencer ,11325
Sperry CDP,124
Spillville ,385
Spirit Lake ,5439
Spragueville ,92
Spring Hill ,68
Springbrook ,143
Springville ,1154
St. Ansgar ,1160
St. Anthony ,76
St. Benedict CDP,31
St. Charles ,640
St. Donatus ,120
St. Joseph CDP,51
St. Lucas ,167
St. Marys ,108
St. Olaf ,106
St. Paul ,109
Stacyville ,458
Stanhope ,364
Stanley ,81
Stanton ,678
Stanwood ,637
State Center ,1391
Steamboat Rock ,264
Stockport ,272
Stockton ,176
Stone City CDP,186
Storm Lake ,11269
Story City ,3352
Stout ,191
Stratford ,707
Strawberry Point ,1155
Struble ,67
Stuart ,1782
Sully ,881
Sumner ,2030
Sun Valley Lake CDP,187
Superior ,132
Sutherland ,629
Swaledale ,144
Swan ,76
Swea City ,566
Swedesburg CDP,99
Swisher ,914
Tabor ,1014
Tama ,3130
Templeton ,352
Tennant ,78
Terril ,334
Thayer ,51
Thompson ,495
Thor ,181
Thornburg ,45
Thornton ,400
Thurman ,167
Tiffin ,4512
Tingley ,136
Tipton ,3149
Titonka ,511
Toeterville CDP,53
Toledo ,2369
Toronto ,102
Traer ,1583
Trenton CDP,74
Treynor ,1032
Tripoli ,1191
Truesdale ,69
Truro ,509
Turin ,72
Twin Lakes CDP,316
Udell ,28
Underwood ,954
Union ,399
Unionville ,75
University Heights ,1228
University Park ,487
Urbana ,1554
Urbandale ,45580
Ute ,338
Vail ,396
Valeria ,39
Van Horne ,774
Van Meter ,1484
Van Wert ,178
Varina ,68
Ventura ,711
Victor ,875
Villisca ,1132
Vincent ,130
Vining ,54
Vinton ,4938
Volga ,203
Wadena ,209
Wahpeton ,345
Walcott ,1551
Walford ,1366
Walker ,688
Wall Lake ,755
Wallingford ,165
Walnut ,747
Wapello ,2084
Washburn CDP,870
Washington ,7352
Washta ,209
Waterloo ,67314
Waterville ,109
Watkins CDP,116
Waucoma ,229
Waukee ,23940
Waukon ,3827
Waverly ,10394
Wayland ,964
Webb ,138
Webster ,94
Webster City ,7825
Weldon ,136
Wellman ,1524
Wellsburg ,720
Welton ,121
Wesley ,391
West Amana CDP,140
West Bend ,791
West Branch ,2509
West Burlington ,3197
West Chester ,144
West Des Moines ,68723
West Liberty ,3858
West Okoboji ,308
West Point ,921
West Union ,2490
Westfield ,123
Westgate ,192
Weston CDP,78
Westphalia ,126
Westside ,285
Westwood ,101
Wever CDP,101
What Cheer ,607
Wheatland ,775
Whiting ,745
Whittemore ,497
Whitten ,100
Willey ,73
Williams ,307
Williamsburg ,3346
Williamson ,120
Wilton ,2924
Windsor Heights ,5252
Winfield ,1033
Winterset ,5353
Winthrop ,823
Wiota ,91
Woden ,188
Woodbine ,1625
Woodburn ,146
Woodward ,1346
Woolstock ,144
Worthington ,382
Wyoming ,523
Yale ,267
Yarmouth CDP,61
Yetter ,19
Yorktown ,60
Zearing ,528
Zwingle ,84
